Date,Open,High,Low,Close,Adj Close,Volume
2016-01-05,39.500000,40.500000,39.250000,40.250000,35.426289,26932400
2016-01-06,40.500000,41.750000,40.500000,41.000000,36.086407,26179400
2016-01-07,40.000000,41.000000,40.000000,40.000000,35.206249,18699800
2016-01-08,40.250000,41.750000,40.000000,41.500000,36.526485,20330700
2016-01-11,41.250000,41.750000,40.750000,41.500000,36.526485,21650000
2016-01-12,41.750000,43.000000,41.500000,43.000000,37.846725,24015200
2016-01-13,43.000000,43.250000,42.250000,42.500000,37.406643,21780800
2016-01-14,42.000000,42.500000,41.250000,41.500000,36.526485,17723100
2016-01-15,41.750000,41.750000,41.000000,41.500000,36.526485,11745600
2016-01-18,41.000000,42.000000,41.000000,41.750000,36.746525,10901500
2016-01-19,41.750000,42.500000,41.750000,42.000000,36.966568,18649100
2016-01-20,41.500000,41.750000,40.500000,40.750000,35.866364,23764600
2016-01-21,41.250000,41.500000,39.250000,39.750000,34.986210,27504100
2016-01-22,40.250000,40.750000,39.500000,40.250000,35.426289,17746400
2016-01-25,40.500000,41.500000,40.500000,41.500000,36.526485,20564200
2016-01-26,41.000000,41.500000,40.500000,41.000000,36.086407,18181300
2016-01-27,41.250000,41.250000,40.500000,41.000000,36.086407,12780400
2016-01-28,40.750000,41.000000,39.750000,40.500000,35.646328,23147600
2016-01-29,40.500000,41.000000,40.250000,40.750000,35.866364,17619700
2016-02-01,40.500000,40.750000,39.500000,40.250000,35.426289,25840500
2016-02-02,40.500000,42.250000,40.250000,42.000000,36.966568,70545500
2016-02-03,41.750000,42.250000,41.500000,41.750000,36.746525,31844600
2016-02-04,42.000000,42.500000,41.750000,42.500000,37.406643,37198600
2016-02-05,42.000000,43.000000,41.750000,42.750000,37.626686,41669800
2016-02-08,42.000000,42.000000,40.750000,41.000000,36.086407,25930400
2016-02-09,41.000000,41.000000,40.500000,40.750000,35.866364,26894200
2016-02-10,40.750000,41.250000,40.250000,41.000000,36.086407,15100200
